"filename", "language", "Java Properties", "HTML", "Java", "XML", "PowerShell", "CSS", "JavaScript", "SQL", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\ReqBodyStr.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\WebController.class", "Java", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 98
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\CredSet.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\DataController.class", "Java", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\Game.class", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\HashUtil.class", "Java", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\Match.class", "Java", 0, 0, 13, 0, 0, 0, 0, 0, 2, 0, 15
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\Player.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\PlayerHash.class", "Java", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\ReqBodyStr.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\WebController.class", "Java", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 99
"c:\Users\Administrator\Desktop\MVTTT\Server\target\maven-archiver\pom.properties", "Java Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\autoUpdateWebMobile.ps1", "PowerShell", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\buildWebMobile.ps1", "PowerShell", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\index.html", "HTML", 0, 124, 0, 0, 0, 0, 0, 0, 3, 3, 130
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\mvttt_web.css", "CSS", 0, 0, 0, 0, 0, 269, 0, 0, 0, 59, 328
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\mvttt_web.js", "JavaScript", 0, 0, 0, 0, 0, 0, 551, 0, 2, 44, 597
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\mvttt_web_canvasBuildStart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 17, 4, 69
"Total", "-", 3, 232, 1034, 52, 16, 269, 599, 86, 59, 201, 2551
